"filename", "language", "C++", "Markdown", "JSON", "Python", "comment", "blank", "total"
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\comparator\controlbits_parser.cc", "C++", 73, 0, 0, 0, 0, 17, 90
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\comparator\controlbits_parser.hh", "C++", 16, 0, 0, 0, 2, 10, 28
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\reader\config\config.cc", "C++", 0, 0, 0, 0, 0, 1, 1
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\reader\controlbits\controlbits.cc", "C++", 6, 0, 0, 0, 0, 0, 6
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\reader\module.cc", "C++", 5, 0, 0, 0, 0, 1, 6
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\reader\module.hh", "C++", 2, 0, 0, 0, 0, 0, 2
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\writer\module.cc", "C++", 32, 0, 0, 0, 3, 3, 38
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\parse\writer\module.hh", "C++", 5, 0, 0, 0, 0, 1, 6
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\widget\prthread.h", "C++", 2, 0, 0, 0, -1, 0, 1
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\config\case17\connections.json", "JSON", 0, 0, 1240, 0, 0, 1, 1241
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\config\case17\interposer.json", "JSON", 0, 0, -1, 0, 0, 0, -1
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\config\case17\reigster_adder.json", "JSON", 0, 0, -1, 0, 0, 0, -1
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\config\case17\topdie_insts.json", "JSON", 0, 0, 96, 0, 0, 0, 96
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\config\case17\topdies.json", "JSON", 0, 0, 16, 0, 0, 0, 16
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\config\case19\connections.json", "JSON", 0, 0, -164, 0, 0, 1, -163
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\config\case20\01_ports.json", "JSON", 0, 0, 150, 0, 0, 0, 150
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\config\case20\config.json", "JSON", 0, 0, 9, 0, 0, 0, 9
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\config\case20\connections.json", "JSON", 0, 0, 4258, 0, 0, 0, 4258
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\config\case20\external_ports.json", "JSON", 0, 0, 666, 0, 0, 0, 666
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\config\case20\interposer.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\config\case20\reigster_adder.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\config\case20\topdie_insts.json", "JSON", 0, 0, 114, 0, 0, 0, 114
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\config\case20\topdies.json", "JSON", 0, 0, 118, 0, 0, 0, 118
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\module_test\test.cc", "C++", -12, 0, 0, 0, 14, 0, 2
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\module_test\test_comparator.cc", "C++", 8, 0, 0, 0, 0, 11, 19
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\regression_test\incremental_test.cc", "C++", 64, 0, 0, 0, 5, 14, 83
"d:\FDU_files\Tao_group\kiwi\MyKiwi\test\regression_test\test.cc", "C++", 4, 0, 0, 0, 5, 6, 15
"Total", "-", 1196, 448, 6503, 37, 75, 469, 8728
