"filename", "language", "XMake", "C++", "Python", "Markdown", "JSON", "GLSL", "comment", "blank", "total"
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\common\maze\mazeroutestrategy.hh", "C++", 0, 83, 0, 0, 0, 0, 4, 26, 113
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\common\maze\path_length.cc", "C++", 0, 160, 0, 0, 0, 0, 7, 18, 185
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\common\maze\path_length.hh", "C++", 0, 17, 0, 0, 0, 0, 0, 10, 27
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\common\routestrategy.hh", "C++", 0, 28, 0, 0, 0, 0, 0, 10, 38
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\bound_bits\bits_group.hh", "C++", 0, 44, 0, 0, 0, 0, 0, 15, 59
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\bound_bits\cob_bits.cc", "C++", 0, 79, 0, 0, 0, 0, 1, 17, 97
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\bound_bits\cob_bits.hh", "C++", 0, 34, 0, 0, 0, 0, 0, 19, 53
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\bound_bits\global_bits.hh", "C++", 0, 54, 0, 0, 0, 0, 0, 20, 74
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\bound_bits\tob_bits.cc", "C++", 0, 112, 0, 0, 0, 0, 0, 25, 137
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\bound_bits\tob_bits.hh", "C++", 0, 37, 0, 0, 0, 0, 0, 18, 55
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\bound_bits\track_bits.cc", "C++", 0, 58, 0, 0, 0, 0, 2, 18, 78
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\bound_bits\track_bits.hh", "C++", 0, 45, 0, 0, 0, 0, 0, 27, 72
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\maze\routing.cc", "C++", 0, 733, 0, 0, 0, 0, 12, 125, 870
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\maze\routing.hh", "C++", 0, 104, 0, 0, 0, 0, 1, 31, 136
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\recorders\cobrecorder.cc", "C++", 0, 184, 0, 0, 0, 0, 1, 41, 226
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\recorders\cobrecorder.hh", "C++", 0, 43, 0, 0, 0, 0, 0, 13, 56
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\recorders\hardware_recorder.cc", "C++", 0, 373, 0, 0, 0, 0, 8, 64, 445
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\recorders\hardware_recorder.hh", "C++", 0, 51, 0, 0, 0, 0, 1, 19, 71
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\recorders\recorder.hh", "C++", 0, 107, 0, 0, 0, 0, 0, 28, 135
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\recorders\tobrecorder.cc", "C++", 0, 251, 0, 0, 0, 0, 0, 57, 308
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\incremental\recorders\tobrecorder.hh", "C++", 0, 53, 0, 0, 0, 0, 1, 18, 72
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\route_nets.cc", "C++", 0, 312, 0, 0, 0, 0, 18, 53, 383
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\route_nets.hh", "C++", 0, 47, 0, 0, 0, 0, 1, 14, 62
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\routeengine.cc", "C++", 0, 136, 0, 0, 0, 0, 5, 27, 168
